Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
6/3/2019,            26°C,            35°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/4/2019,            26°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/5/2019,            26°C,            36°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/6/2019,            27°C,            35°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/7/2019,            27°C,            35°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/8/2019,            27°C,            36°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/9/2019,            27°C,            38°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/10/2019,            28°C,            39°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/11/2019,            29°C,            39°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/12/2019,            29°C,            39°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/13/2019,            28°C,            39°C,            22 Km/h,            N/A,"            8,8mm",            N/A,            N/A,            ,            Giông bãoMưa
6/14/2019,            29°C,            39°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
6/15/2019,            28°C,            37°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
6/16/2019,            28°C,            36°C,            21 Km/h,            N/A,"            1,5mm",            N/A,            N/A,            ,            Giông bãoMưa
6/17/2019,            27°C,            38°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/18/2019,            27°C,            36°C,            24 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
